post_url,post_author,post_id,burst_timestamp,commenters_in_burst,burst_window_minutes,commenter_slugs
https://www.linkedin.com/posts/victortrieu_youre-not-stuck-youre-paid-and-its-costing-activity-7434209666877886464-mXE-,victortrieu,7434209666877886464,2026-03-02T12:19:05,24,50.5,alex-de-jong;captshawnsequeira;dartarieks;dianekucala;diannewblack;donnetta-kay;embracefulfillment;hasansajid;ionaholloway;jessicaesamuels;lingabson;mariasabio;minudatta;mitapatel1;mohammed-kasujee;posts;rupalyadav999;sanjivberi;sara-a-riedel;shreyavohora;sliwowskik;steveabramson;steveob;tiffanymasson
https://www.linkedin.com/posts/victortrieu_stress-feels-manageable-at-first-then-it-activity-7439267979088965633-5bw_,victortrieu,7439267979088965633,2026-03-16T11:21:44,19,38.4,ayyycamacho;diannewblack;donnetta-kay;embracefulfillment;ionaholloway;jerryvalerio;jessicaesamuels;joyadass;kristaps-kazaks;mariasabio;minudatta;paulemslie;posts;sanjivberi;sara-a-riedel;shah0728;steveabramson;steveob;tiffanymasson
https://www.linkedin.com/posts/victortrieu_5-types-of-wellbeing-only-7-thrive-in-activity-7437093658639790081-H7O-,victortrieu,7437093658639790081,2026-03-10T11:20:52,18,51.5,ayyycamacho;caitlin-connolly-elgin;diannewblack;donnetta-kay;embracefulfillment;hasansajid;jessicaesamuels;lingabson;mariasabio;minudatta;mitapatel1;posts;rupalyadav999;sanjivberi;sara-a-riedel;sliwowskik;steveob;tiffanymasson
https://www.linkedin.com/posts/diannewblack_success-is-exciting-but-it-is-also-temporary-activity-7442912138328817664-hYpw,diannewblack,7442912138328817664,2026-03-26T12:47:25,17,59.1,alliestories8;bridgett-strickler;ebonybeckwith;jorgecalzada;kelleybrakstad;lingabson;mariasabio;maryam-jan-akbari;nandiitaa;patrickcattin;petrawuest;posts;priscila-pree-silva;rashmirbalasubramaniam;renemadden;sara-a-riedel;steveabramson
https://www.linkedin.com/posts/victortrieu_9-simple-lessons-from-women-who-made-hard-activity-7436021587407106048-Lmg1,victortrieu,7436021587407106048,2026-03-07T12:21:13,17,59.8,dartarieks;dianekucala;diannewblack;donnetta-kay;dr-mrinalini-garv;guneytopcu;jessicaesamuels;mariaee;mitapatel1;mohammed-kasujee;petrawuest;rupalyadav999;sara-a-riedel;sharongreene-strategic-foresights;sineadmodonovan;thejenstanford;tiffanymasson
https://www.linkedin.com/posts/victortrieu_youre-running-from-fear-again-heres-how-activity-7435296833070845952-SYgt,victortrieu,7435296833070845952,2026-03-05T12:18:09,17,41.4,diannewblack;donnetta-kay;embracefulfillment;hasansajid;inna-pearce-025a0513;jarrodsouza;jessicaesamuels;karen-stone-performancehabits;kelleybrakstad;kristaps-kazaks;lingabson;mariasabio;minudatta;posts;sanjivberi;shreyavohora;steveabramson
https://www.linkedin.com/posts/dartarieks_the-glass-jar-method-activity-7442548840215498752-97YB,dartarieks,7442548840215498752,2026-03-25T12:31:59,16,53.1,dartarieks;inna-pearce-025a0513;ionaholloway;jorgecalzada;kelleybrakstad;kristaps-kazaks;lingabson;mahaalaoui;melisabuie;michaela-daly-fcca;mohammed-kasujee;patrickcattin;sara-a-riedel;sineadmodonovan;steveabramson;thejenstanford
https://www.linkedin.com/posts/alliestories8_uncomfortable-truth-99-of-people-never-activity-7434590917149442049-Aw9y,alliestories8,7434590917149442049,2026-03-03T13:39:55,16,59.0,akshaymahajan1;alliestories8;bryceplatt;captshawnsequeira;dartarieks;jorgecalzada;lingabson;lynnetlevy;mariaee;maryam-jan-akbari;michellemaldonado;nandiitaa;petrawuest;renemadden;sanjivberi;steveabramson
https://www.linkedin.com/posts/alliestories8_i-have-never-let-my-schooling-interfere-activity-7434228537986920448-Rc7h,alliestories8,7434228537986920448,2026-03-02T13:31:33,16,57.4,akshaymahajan1;alliestories8;bridgett-strickler;bryceplatt;dartarieks;karen-stone-performancehabits;lingabson;marcellabremer;mariaee;michaela-daly-fcca;nandiitaa;petrawuest;renemadden;sanjivberi;sineadmodonovan;steveabramson
https://www.linkedin.com/posts/victortrieu_banking-exec-made-redundant-at-41-i-spent-activity-7442891870776606720-4DUk,victortrieu,7442891870776606720,2026-03-26T11:21:26,16,43.8,ayyycamacho;captshawnsequeira;dartarieks;donnetta-kay;ebonybeckwith;embracefulfillment;ionaholloway;minudatta;patrickcattin;paulemslie;posts;sanjivberi;sara-a-riedel;sliwowskik;steveob;thomastsangaras
