slug,cluster_id,degree,total_edge_weight,in_registry,registry_id,registry_role
posts,0,384,5695,False,,
renemadden,0,292,4377,True,P031,member
mohammed-kasujee,0,280,4373,True,P028,member
jorgecalzada,0,284,4275,True,P081,member
maryam-jan-akbari,0,272,4229,True,P069,member
alliestories8,0,268,4081,True,P070,member
diannewblack,0,303,4077,True,P075,member
sara-a-riedel,0,254,4040,True,P072,member
victortrieu,0,292,4021,False,,
melisabuie,0,274,4008,True,P088,member
dartarieks,0,271,3997,True,P071,member
lingabson,0,249,3988,True,P082,member
rupalyadav999,0,289,3777,True,P067,member
kristaps-kazaks,0,327,3615,True,P025,member
patrickcattin,0,293,3607,True,P029,member
karen-stone-performancehabits,0,264,3585,True,P080,member
barryflanagan,0,245,3580,True,P078,member
jeremiah-teo-charisma-business-coach,0,273,3524,True,P087,member
mariaee,0,269,3416,True,P076,member
nandiitaa,0,250,3382,True,P073,member
sineadmodonovan,0,254,3244,True,P074,member
marcellabremer,0,258,3191,True,P085,member
priscila-pree-silva,0,244,3059,False,,
bridgett-strickler,0,291,3014,True,P021,member
michellemaldonado,0,222,3005,True,P083,member
thomasallanjones,0,232,2911,True,P077,member
mennosiebinga,0,268,2897,True,P027,member
cyrus-tong-952a0950,0,271,2893,False,,
ashleymunday0,0,224,2874,True,P092,member
urspzimmermann-bod-imd-emba,0,267,2865,False,,
mariasabio,0,227,2838,True,P086,member
marcogeorg,0,264,2814,False,,
chinfulee,0,264,2798,False,,
ionaholloway,0,231,2793,True,P084,member
dianekucala,0,249,2731,False,,
sanjivberi,0,222,2686,True,P090,member
paula-beattie-7a89795,0,244,2673,True,P030,member
ebonybeckwith,0,233,2651,True,P091,member
geezulkifli,0,217,2568,True,P065,member
hasansajid,0,223,2456,True,P079,member
alex-de-jong,0,257,2372,False,,
michaela-daly-fcca,0,218,2340,False,,
tiffanymasson,0,208,2340,True,P033,member
rashmirbalasubramaniam,0,247,2308,False,,
mitapatel1,0,205,2281,True,P035,member
kelleybrakstad,0,236,2138,False,,
paulemslie,0,232,2048,False,,
golovin,0,292,2042,False,,
karirusso,0,227,2004,False,,
minudatta,0,229,1919,False,,
nandani-kundhiya,0,229,1904,False,,
petrawuest,0,201,1885,False,,
jessicaesamuels,0,228,1862,False,,
lynnetlevy,0,195,1856,False,,
raahul-seshadri,0,160,1748,True,P089,member
jerryvalerio,0,212,1724,True,P024,member
dr-mrinalini-garv,0,303,1702,False,,
thejenstanford,0,224,1632,False,,
sliwowskik,0,177,1610,True,P061,member
mahaalaoui,0,227,1603,True,P026,member
chrismurphyhq,0,157,1573,True,P022,member
steveabramson,0,162,1511,False,,
doravanourek,0,190,1493,False,,
sharongreene-strategic-foresights,0,175,1491,False,,
chrislangsocial,0,198,1464,True,P104,member
shreyavohora,0,255,1413,True,P051,client
sergeikrasulya,0,155,1291,False,,
ernest-simonyan,0,221,1280,False,,
emilyparcell,0,174,1251,True,P039,client
karansingh---,0,158,1239,False,,
coryblumenfeld,0,153,1208,True,P001,operator
dradeelkhan-md,0,139,1189,True,P038,client
dianbasit,0,204,1167,False,,
gudiyarao,0,214,1146,False,,
ayyycamacho,0,222,1144,True,P114,member
yauhanmehta,0,145,1140,True,P034,member
kellyamcginnis,0,212,1132,True,P043,client
guneytopcu,0,172,1125,False,,
captshawnsequeira,0,165,1123,False,,
charomero,0,125,1077,True,P037,client
michaeltatham,0,199,1060,True,P047,client
seshannissanka,0,207,1056,True,P032,member
natty,0,147,1042,False,,
ferdi-kirlak-093966273,0,145,1038,False,,
wylie-b-pmp-itil-cissp,0,165,1024,False,,
brandallwillis,0,134,999,False,,
l-jermaine-shelby-jr-13057018,0,198,994,False,,
ben-gusberg,0,136,992,False,,
realnickbradley,0,182,988,True,P048,client
jerald-lie,0,151,971,False,,
thorerikgulliksen,0,194,963,False,,
anisacela,0,112,937,True,P063,member
steveob,0,215,935,False,,
thomastsangaras,0,175,913,False,,
piyush-kumar-mehta-a255b3301,0,153,905,False,,
sarah-griffin-writer-editor,0,214,899,False,,
rahul-g-iyer,0,129,881,False,,
suzy-burke-phd-ab77071a,0,148,869,False,,
jibranzia,0,174,863,False,,
chanlh,0,164,856,False,,
finnmcalister,0,141,856,False,,
donnetta-kay,0,142,839,False,,
embracefulfillment,0,140,839,False,,
rayjbjang,0,140,837,True,P049,client
pete-herbst-4395a172,0,114,830,False,,
karyoberbrunner,0,212,822,False,,
executivecoachhr,0,127,819,False,,
raj-vaibhaav,0,142,814,False,,
shivaniberry,0,138,808,False,,
ashishshukla-growth,0,149,800,False,,
iman-ayesha-1b01b9321,0,130,799,False,,
leonardrodman,0,133,798,True,P044,client
muhammad-ehsan-b4a1201a3,0,181,788,False,,
michaelalindinger,0,127,779,False,,
aamir-khan-software-engineer,0,180,778,True,P113,member
tatianaechavarria,0,124,777,False,,
realandrewbarry,0,132,773,False,,
tanya-hopper-98547410a,0,196,758,False,,
akshaymahajan1,0,121,756,False,,
joyadass,0,136,754,False,,
bryceplatt,0,116,751,False,,
virendrakushram,0,123,750,False,,
cecilia-mcdonnell,0,128,737,False,,
ceciliabr%C3%A4ndstr%C3%B6m,0,149,725,False,,
drthomasfunke,0,131,724,False,,
prakritisharma17,0,116,721,False,,
arielcohen-aigrowth,0,132,716,False,,
gabrielmama,0,103,716,True,P064,member
itsaliqadri,0,112,713,False,,
varnaud,0,108,703,False,,
inna-pearce-025a0513,0,110,700,False,,
chrismarkens,0,117,696,False,,
sridharkuppa,0,130,694,False,,
mitralagrand,0,118,688,False,,
yaseengilbert,0,160,685,False,,
matej-cybersecurityleader,0,140,681,False,,
caitlin-connolly-elgin,0,142,680,False,,
viipinigautam,0,118,680,False,,
ericmelillo,0,111,669,False,,
conversationstarter,0,177,668,False,,
marivasan,0,118,658,False,,
drbatliwala,0,142,657,False,,
jonathanmaddock,0,112,652,False,,
shawnfreeman-,0,91,650,True,P062,member
annzaslowrethaber,0,118,648,False,,
ravi-garg-71b5b42a,0,149,642,False,,
anjeanette-carter,0,118,640,False,,
jayprakash-kaushik-b963293a1,0,156,635,False,,
zaririrani,0,118,631,False,,
basila-kattouf,0,123,622,False,,
sevjoy,0,127,619,False,,
sandygrigsby,0,123,617,True,P050,client
sam-balooch-81337014,0,150,615,False,,
joaoloreti,0,147,613,False,,
olga-krynicka-32b6b1275,0,118,607,False,,
sazid-creativegrowths,0,114,607,False,,
karolagrunenbaum,0,127,602,False,,
markhalperncfptepmfap,0,113,598,False,,
zachary-b-mural-ph-d-6994018,0,127,591,False,,
techpixiejoy,0,112,589,False,,
michaelrfranco,0,106,588,False,,
steven-claes,0,134,584,False,,
nick-black-7658ab37,0,108,582,True,P066,unknown
simonehoa,0,134,578,False,,
swatibrandstrategist,0,100,575,False,,
connorgillivan,0,115,574,True,P122,member
jarrodsouza,0,131,569,False,,
effendy-januar-18602545,0,125,563,False,,
jeremyprasetyo,0,146,560,False,,
alfredo-castanheira,0,101,554,False,,
executivecareercoaching,0,96,551,False,,
