commenter_slug,author_slug,comment_count
posts,chrislangsocial,148
posts,victortrieu,148
posts,shanebarker,131
posts,charlie-hills,129
posts,coryblumenfeld,95
renemadden,renemadden,93
posts,sanjivberi,89
michellemaldonado,michellemaldonado,81
mahaalaoui,mahaalaoui,69
posts,pete-herbst-4395a172,66
posts,jerryvalerio,57
posts,charomero,53
mariasabio,mariasabio,52
posts,shawnfreeman-,50
posts,dianbasit,47
posts,dradeelkhan-md,39
posts,maryam-jan-akbari,37
posts,emilyparcell,34
jorgecalzada,mariaee,32
posts,gabrielmama,32
jorgecalzada,rupalyadav999,31
posts,brandallwillis,31
barryflanagan,dartarieks,31
jorgecalzada,dartarieks,31
hasansajid,renemadden,31
mariasabio,rupalyadav999,30
barryflanagan,jorgecalzada,30
mariasabio,maryam-jan-akbari,30
renemadden,diannewblack,30
mariasabio,diannewblack,30
captshawnsequeira,maryam-jan-akbari,30
jorgecalzada,diannewblack,30
steveabramson,diannewblack,30
sara-a-riedel,maryam-jan-akbari,30
sara-a-riedel,diannewblack,30
renemadden,lingabson,30
melisabuie,lingabson,30
sineadmodonovan,mariaee,30
renemadden,alliestories8,30
sanjivberi,alliestories8,30
steveabramson,alliestories8,30
barryflanagan,michellemaldonado,30
jorgecalzada,michellemaldonado,30
steveob,victortrieu,30
karirusso,victortrieu,30
mariasabio,victortrieu,30
hasansajid,victortrieu,30
jorgecalzada,victortrieu,30
steveabramson,victortrieu,30
peterweiss-shinkaizen,victortrieu,30
mitapatel1,hasansajid,30
barryflanagan,hasansajid,30
steveabramson,barryflanagan,30
barryflanagan,raahul-seshadri,30
tiffanymasson,raahul-seshadri,30
sara-a-riedel,marcellabremer,30
steveabramson,ashleymunday0,30
mariasabio,kristaps-kazaks,30
captshawnsequeira,kristaps-kazaks,30
sanjivberi,mennosiebinga,30
jorgecalzada,mennosiebinga,30
barryflanagan,mohammed-kasujee,30
mariasabio,mohammed-kasujee,30
renemadden,mohammed-kasujee,30
jorgecalzada,mohammed-kasujee,30
hasansajid,tiffanymasson,30
coryblumenfeld,charomero,30
coryblumenfeld,shawnfreeman-,30
mariasabio,sliwowskik,30
michaelleber,sliwowskik,30
barryflanagan,rupalyadav999,29
barryflanagan,geezulkifli,29
steveabramson,nandiitaa,29
michellemaldonado,jorgecalzada,29
barryflanagan,maryam-jan-akbari,29
barryflanagan,sara-a-riedel,29
mariasabio,sara-a-riedel,29
michellemaldonado,sara-a-riedel,29
melisabuie,maryam-jan-akbari,29
melisabuie,diannewblack,29
diannewblack,maryam-jan-akbari,29
melisabuie,jorgecalzada,29
barryflanagan,lingabson,29
sara-a-riedel,lingabson,29
steveabramson,lingabson,29
brandallwillis,brandallwillis,29
sanjivberi,mariaee,29
mitapatel1,mariaee,29
mariasabio,mariaee,29
melisabuie,alliestories8,29
jorgecalzada,alliestories8,29
melisabuie,michaela-daly-fcca,29
steveabramson,michellemaldonado,29
barryflanagan,thomasallanjones,29
melisabuie,kelleybrakstad,29
brandallwillis,dianbasit,29
steveabramson,hasansajid,29
michellemaldonado,barryflanagan,29
jorgecalzada,barryflanagan,29
barryflanagan,priscila-pree-silva,29
barryflanagan,ionaholloway,29
sara-a-riedel,karen-stone-performancehabits,29
dianekucala,marcellabremer,29
jorgecalzada,ashleymunday0,29
jeremyprasetyo,coryblumenfeld,29
barryflanagan,chrismurphyhq,29
diannewblack,renemadden,29
raahul-seshadri,mohammed-kasujee,29
mitapatel1,mohammed-kasujee,29
