profile_a,profile_b,a_to_b_count,b_to_a_count,total,a_role,b_role
barryflanagan,jorgecalzada,30,29,59,member,member
diannewblack,renemadden,29,30,59,member,member
lingabson,renemadden,29,30,59,member,member
barryflanagan,michellemaldonado,30,29,59,member,member
jorgecalzada,michellemaldonado,30,29,59,member,member
diannewblack,mariasabio,28,30,58,member,member
raahul-seshadri,tiffanymasson,28,30,58,member,member
barryflanagan,raahul-seshadri,30,27,57,member,member
michellemaldonado,sara-a-riedel,29,28,57,member,member
diannewblack,maryam-jan-akbari,29,28,57,member,member
barryflanagan,thomasallanjones,29,28,57,member,member
mariasabio,maryam-jan-akbari,30,26,56,member,member
diannewblack,jorgecalzada,26,30,56,member,member
maryam-jan-akbari,sara-a-riedel,26,30,56,member,member
karen-stone-performancehabits,sara-a-riedel,27,29,56,member,member
chrismurphyhq,tiffanymasson,28,28,56,member,member
mariaee,sineadmodonovan,25,30,55,member,member
jorgecalzada,melisabuie,26,29,55,member,member
michellemaldonado,nandiitaa,28,27,55,member,member
hasansajid,thomasallanjones,28,27,55,member,member
michellemaldonado,renemadden,28,27,55,member,member
barryflanagan,maryam-jan-akbari,29,25,54,member,member
barryflanagan,nandiitaa,28,26,54,member,member
barryflanagan,tiffanymasson,26,28,54,member,member
karen-stone-performancehabits,mitapatel1,26,28,54,member,member
barryflanagan,renemadden,28,26,54,member,member
barryflanagan,sara-a-riedel,29,24,53,member,member
maryam-jan-akbari,melisabuie,24,29,53,member,member
alliestories8,jorgecalzada,24,29,53,member,member
barryflanagan,melisabuie,25,28,53,member,member
mitapatel1,raahul-seshadri,28,25,53,member,member
diannewblack,sara-a-riedel,22,30,52,member,member
mohammed-kasujee,renemadden,22,30,52,member,member
lingabson,sara-a-riedel,23,29,52,member,member
ionaholloway,michellemaldonado,24,28,52,member,member
ashleymunday0,melisabuie,24,28,52,member,member
renemadden,sara-a-riedel,25,27,52,member,member
diannewblack,melisabuie,22,29,51,member,member
lingabson,raahul-seshadri,23,28,51,member,member
alliestories8,lingabson,23,28,51,member,member
ionaholloway,sineadmodonovan,24,27,51,member,member
maryam-jan-akbari,renemadden,27,24,51,member,member
karen-stone-performancehabits,mohammed-kasujee,27,24,51,member,member
diannewblack,nandiitaa,26,25,51,member,member
karen-stone-performancehabits,michellemaldonado,26,25,51,member,member
ionaholloway,karen-stone-performancehabits,26,25,51,member,member
jorgecalzada,mariaee,32,18,50,member,member
hasansajid,renemadden,31,19,50,member,member
marcellabremer,sara-a-riedel,20,30,50,member,member
barryflanagan,chrismurphyhq,29,21,50,member,member
mitapatel1,mohammed-kasujee,29,21,50,member,member
mitapatel1,nandiitaa,27,23,50,member,member
ashleymunday0,sara-a-riedel,23,27,50,member,member
maryam-jan-akbari,sliwowskik,27,23,50,member,member
lingabson,mariaee,24,26,50,member,member
karen-stone-performancehabits,lingabson,26,24,50,member,member
lingabson,sineadmodonovan,24,26,50,member,member
karen-stone-performancehabits,mariaee,26,24,50,member,member
ashleymunday0,tiffanymasson,24,26,50,member,member
maryam-jan-akbari,nandiitaa,25,25,50,member,member
alliestories8,renemadden,19,30,49,member,member
mariasabio,sara-a-riedel,29,20,49,member,member
mariaee,sanjivberi,20,29,49,member,member
lingabson,mitapatel1,21,28,49,member,member
lingabson,maryam-jan-akbari,21,28,49,member,member
lingabson,marcellabremer,28,21,49,member,member
michellemaldonado,mohammed-kasujee,28,21,49,member,member
diannewblack,ebonybeckwith,27,22,49,member,member
geezulkifli,maryam-jan-akbari,23,26,49,member,member
lingabson,nandiitaa,23,26,49,member,member
ionaholloway,lingabson,25,24,49,member,member
lingabson,melisabuie,18,30,48,member,member
barryflanagan,ionaholloway,29,19,48,member,member
mohammed-kasujee,raahul-seshadri,19,29,48,member,member
mennosiebinga,sineadmodonovan,19,29,48,member,member
dartarieks,patrickcattin,20,28,48,member,member
barryflanagan,sineadmodonovan,28,20,48,member,member
jorgecalzada,renemadden,28,20,48,member,member
nandiitaa,sara-a-riedel,25,23,48,member,member
ashleymunday0,lingabson,25,23,48,member,member
mariasabio,mohammed-kasujee,30,17,47,member,member
lingabson,thomasallanjones,20,27,47,member,member
ashleymunday0,karen-stone-performancehabits,20,27,47,member,member
ionaholloway,mohammed-kasujee,27,20,47,member,member
dartarieks,lingabson,21,26,47,member,member
alliestories8,maryam-jan-akbari,21,26,47,member,member
